No.,Varietas,Panjang,Besar,Warna,Rasa,Teknik,Musim,Penyakit,PH,Grade Mutu
960,Beras Hitam,7.5,6.2,hitam,pulen,SRI,Kemarau,tikus,5,Grade C
961,panda wangi,6.2,1.1,putih,sangat pulen,Jajar Legowo,Hujan,Burung,2,Grade D
962,ciheran,7.4,2.3,putih,pulen,Jajar Legowo,Hujan,penggerek batang,2,Grade C
963,mi kongga,6.1,3.5,putih,sangat pulen,SRI,Hujan,wereng coklat,2,Grade D
964,IR 64,6.4,4.5,putih,pulen,SRI,Hujan,wereng hijau,2,Grade B
965,Beras Merah,7.3,5.5,merah,sangat pulen,Jajar Legowo,Hujan,tikus,2,Grade C
966,Beras Hitam,7.2,6.2,hitam,pulen,Jajar Legowo,Hujan,Burung,2,Grade C
967,panda wangi,6.1,1.3,coklat,sangat pulen,SRI,Kemarau,penggerek batang,3,Grade B
968,ciheran,7.1,2.3,putih,pulen,SRI,Kemarau,wereng coklat,3,Grade C
969,mi kongga,6.5,3.3,putih,sangat pulen,Jajar Legowo,Kemarau,wereng hijau,3,Grade B
970,IR 64,6.3,4.2,putih,pulen,Jajar Legowo,Kemarau,tikus,3,Grade D
971,Beras Merah,7.4,5.2,merah,sangat pulen,SRI,Kemarau,Burung,3,Grade C
972,Beras Hitam,7.2,6.2,hitam,pulen,SRI,Kemarau,penggerek batang,3,Grade C
973,panda wangi,6.1,1.4,putih,sangat pulen,Jajar Legowo,Hujan,wereng coklat,4,Grade C
974,ciheran,7.3,2.2,putih,pulen,Jajar Legowo,Hujan,wereng hijau,4,Grade B
975,mi kongga,6.5,3.2,putih,sangat pulen,SRI,Hujan,tikus,4,Grade C
976,IR 64,6.2,4.2,putih,pulen,SRI,Hujan,Burung,4,Grade C
977,Beras Merah,7.4,5.3,merah,sangat pulen,Jajar Legowo,Hujan,penggerek batang,4,Grade B
978,Beras Hitam,7.1,6.2,hitam,pulen,Jajar Legowo,Hujan,wereng coklat,4,Grade B
979,panda wangi,6.4,1.3,coklat,sangat pulen,SRI,Kemarau,wereng hijau,5,Grade B
980,ciheran,7.4,2.3,putih,pulen,SRI,Kemarau,tikus,5,Grade C
981,mi kongga,6.2,3.3,putih,sangat pulen,Jajar Legowo,Kemarau,Burung,5,Grade C
982,IR 64,6.1,4.2,putih,pulen,Jajar Legowo,Kemarau,penggerek batang,5,Grade D
983,Beras Merah,7.4,1.2,merah,sangat pulen,SRI,Kemarau,wereng coklat,5,Grade B
984,Beras Hitam,7.5,6.5,hitam,pulen,SRI,Kemarau,wereng hijau,5,Grade B
985,panda wangi,6.3,1.2,putih,sangat pulen,Jajar Legowo,Hujan,tikus,2,Grade D
986,ciheran,7.1,2.2,putih,pulen,Jajar Legowo,Hujan,Burung,2,Grade C
987,mi kongga,6.3,3.2,putih,sangat pulen,SRI,Hujan,penggerek batang,2,Grade D
988,IR 64,6.4,4.3,putih,pulen,SRI,Hujan,wereng coklat,2,Grade D
989,Beras Merah,7.5,5.3,merah,sangat pulen,Jajar Legowo,Hujan,wereng hijau,2,Grade B
990,Beras Hitam,7.3,6.2,hitam,pulen,Jajar Legowo,Hujan,tikus,2,Grade C
991,panda wangi,6.5,1.4,coklat,sangat pulen,SRI,Kemarau,Burung,3,Grade C
992,ciheran,7.5,2.2,putih,pulen,SRI,Kemarau,penggerek batang,3,Grade D
993,mi kongga,6.2,3.2,putih,sangat pulen,Jajar Legowo,Kemarau,wereng coklat,3,Grade D
994,IR 64,6.5,4.2,putih,pulen,Jajar Legowo,Kemarau,wereng hijau,3,Grade B
995,Beras Merah,7.2,5.3,merah,sangat pulen,SRI,Kemarau,tikus,3,Grade C
996,Beras Hitam,7.1,6.2,hitam,pulen,SRI,Kemarau,Burung,3,Grade C
997,panda wangi,6.3,1.3,putih,sangat pulen,Jajar Legowo,Hujan,penggerek batang,4,Grade C
998,ciheran,7.3,2.3,putih,pulen,Jajar Legowo,Hujan,wereng coklat,4,Grade B
999,mi kongga,6.2,3.3,putih,sangat pulen,SRI,Hujan,wereng hijau,4,Grade B
1000,IR 64,6.4,4.2,putih,pulen,SRI,Hujan,tikus,4,Grade C
1001,Beras Merah,7.5,1.2,merah,sangat pulen,Jajar Legowo,Hujan,Burung,4,Grade C
1002,Beras Hitam,7.2,6.5,hitam,pulen,Jajar Legowo,Hujan,penggerek batang,4,Grade B
1003,panda wangi,6.4,1.2,coklat,sangat pulen,SRI,Kemarau,wereng coklat,5,Grade A
1004,ciheran,7.2,2.2,putih,pulen,SRI,Kemarau,wereng hijau,5,Grade B
1005,mi kongga,6.4,3.2,putih,sangat pulen,Jajar Legowo,Kemarau,tikus,5,Grade C
1006,IR 64,6.3,4.3,putih,pulen,Jajar Legowo,Kemarau,Burung,5,Grade C
1007,Beras Merah,7.2,5.3,merah,sangat pulen,SRI,Kemarau,penggerek batang,5,Grade B
1008,Beras Hitam,7.4,6.2,hitam,pulen,SRI,Kemarau,wereng coklat,5,Grade B
1009,panda wangi,6.4,1.4,putih,sangat pulen,Jajar Legowo,Hujan,wereng hijau,2,Grade B
1010,ciheran,7.3,2.2,putih,pulen,Jajar Legowo,Hujan,tikus,2,Grade C
1011,mi kongga,6.5,3.2,putih,sangat pulen,SRI,Hujan,Burung,2,Grade C
1012,IR 64,6.6,4.2,putih,pulen,SRI,Hujan,penggerek batang,2,Grade D
1013,Beras Merah,7.2,5.3,merah,sangat pulen,Jajar Legowo,Hujan,wereng coklat,2,Grade C
1014,Beras Hitam,7.3,6.2,hitam,pulen,Jajar Legowo,Hujan,wereng hijau,2,Grade B
1015,panda wangi,6.6,1.3,coklat,sangat pulen,SRI,Kemarau,tikus,3,Grade C
1016,ciheran,7.2,2.3,putih,pulen,SRI,Kemarau,Burung,3,Grade D
1017,mi kongga,6.1,3.3,putih,sangat pulen,Jajar Legowo,Kemarau,penggerek batang,3,Grade D
1018,IR 64,6.4,4.2,putih,pulen,Jajar Legowo,Kemarau,wereng coklat,3,Grade D
1019,Beras Merah,7.5,1.2,merah,sangat pulen,SRI,Kemarau,wereng hijau,3,Grade B
1020,Beras Hitam,7.3,6.5,hitam,pulen,SRI,Kemarau,tikus,3,Grade C
1021,panda wangi,6.2,1.2,putih,sangat pulen,Jajar Legowo,Hujan,Burung,4,Grade C
1022,ciheran,7.1,2.2,putih,pulen,Jajar Legowo,Hujan,penggerek batang,4,Grade B
1023,mi kongga,6.3,3.2,putih,sangat pulen,SRI,Hujan,wereng coklat,4,Grade C
1024,IR 64,6.2,4.3,putih,pulen,SRI,Hujan,wereng hijau,4,Grade B
1025,Beras Merah,7.2,5.3,merah,sangat pulen,Jajar Legowo,Hujan,tikus,4,Grade C
1026,Beras Hitam,7.1,6.2,hitam,pulen,Jajar Legowo,Hujan,Burung,4,Grade C
1027,panda wangi,6.2,1.1,coklat,sangat pulen,SRI,Kemarau,penggerek batang,5,Grade A
1028,ciheran,7.2,2.2,putih,pulen,SRI,Kemarau,wereng coklat,5,Grade B
1029,mi kongga,6.2,3.3,putih,sangat pulen,Jajar Legowo,Kemarau,wereng hijau,5,Grade B
1030,IR 64,6.3,4.3,putih,pulen,Jajar Legowo,Kemarau,tikus,5,Grade C
1031,Beras Merah,7.4,5.2,merah,sangat pulen,SRI,Kemarau,Burung,5,Grade C
1032,Beras Hitam,7.2,6.4,hitam,pulen,SRI,Kemarau,penggerek batang,5,Grade B
1033,panda wangi,6.2,1.1,putih,sangat pulen,Jajar Legowo,Hujan,wereng coklat,2,Grade D
1034,ciheran,7.2,2.4,putih,pulen,Jajar Legowo,Hujan,wereng hijau,2,Grade B
1035,mi kongga,6.4,3.2,putih,sangat pulen,SRI,Hujan,tikus,2,Grade C
1036,IR 64,6.3,4.3,putih,pulen,SRI,Hujan,Burung,2,Grade C
1037,Beras Merah,7.1,5.2,merah,sangat pulen,Jajar Legowo,Hujan,penggerek batang,2,Grade C
1038,Beras Hitam,7.2,6.2,hitam,pulen,Jajar Legowo,Hujan,wereng coklat,2,Grade C
1039,panda wangi,6.4,1.4,coklat,sangat pulen,SRI,Kemarau,wereng hijau,3,Grade B
1040,ciheran,7.2,2.2,putih,pulen,SRI,Kemarau,tikus,3,Grade D
1041,mi kongga,6.1,3.2,putih,sangat pulen,Jajar Legowo,Kemarau,Burung,3,Grade D
1042,IR 64,6.3,4.3,putih,pulen,Jajar Legowo,Kemarau,penggerek batang,3,Grade D
1043,Beras Merah,7.5,5.3,merah,sangat pulen,SRI,Kemarau,wereng coklat,3,Grade C
1044,Beras Hitam,7.1,6.2,hitam,pulen,SRI,Kemarau,wereng hijau,3,Grade B
1045,panda wangi,6,1.1,putih,sangat pulen,Jajar Legowo,Hujan,tikus,4,Grade C
1046,ciheran,7.1,2.3,putih,pulen,Jajar Legowo,Hujan,Burung,4,Grade C
1047,mi kongga,6.3,3.5,putih,sangat pulen,SRI,Hujan,penggerek batang,4,Grade C
1048,IR 64,6.3,4.5,putih,pulen,SRI,Hujan,wereng coklat,4,Grade C
1049,Beras Merah,7.4,5.5,merah,sangat pulen,Jajar Legowo,Hujan,wereng hijau,4,Grade B
1050,Beras Hitam,7.3,6.2,hitam,pulen,Jajar Legowo,Hujan,tikus,4,Grade C
1051,panda wangi,6.3,1.3,coklat,sangat pulen,SRI,Kemarau,Burung,5,Grade B
1052,ciheran,7.1,2.3,putih,pulen,SRI,Kemarau,penggerek batang,5,Grade C
1053,mi kongga,6.5,3.3,putih,sangat pulen,Jajar Legowo,Kemarau,wereng coklat,5,Grade C
1054,IR 64,6.3,4.2,putih,pulen,Jajar Legowo,Kemarau,wereng hijau,5,Grade B
1055,Beras Merah,7.2,5.2,merah,sangat pulen,SRI,Kemarau,tikus,5,Grade C
1056,Beras Hitam,7.4,6.2,hitam,pulen,SRI,Kemarau,Burung,5,Grade C
1057,panda wangi,6.2,1.4,putih,sangat pulen,Jajar Legowo,Hujan,penggerek batang,2,Grade D
1058,ciheran,7.1,2.2,putih,pulen,Jajar Legowo,Hujan,wereng coklat,2,Grade C
1059,mi kongga,6.3,3.2,putih,sangat pulen,SRI,Hujan,wereng hijau,2,Grade B
1060,IR 64,6.4,4.2,putih,pulen,SRI,Hujan,tikus,2,Grade C
1061,Beras Merah,7.5,5.3,merah,sangat pulen,Jajar Legowo,Hujan,Burung,2,Grade C
1062,Beras Hitam,7.3,6.2,hitam,pulen,Jajar Legowo,Hujan,penggerek batang,2,Grade C
1063,panda wangi,6.5,1.2,coklat,sangat pulen,SRI,Kemarau,wereng coklat,3,Grade B
1064,ciheran,7.5,2.3,putih,pulen,SRI,Kemarau,wereng hijau,3,Grade B
1065,mi kongga,6.2,3.3,putih,sangat pulen,Jajar Legowo,Kemarau,tikus,3,Grade D
1066,IR 64,6.5,4.2,putih,pulen,Jajar Legowo,Kemarau,Burung,3,Grade D
1067,Beras Merah,7.2,5.1,merah,sangat pulen,SRI,Kemarau,penggerek batang,3,Grade C
1068,Beras Hitam,7.1,6.3,hitam,pulen,SRI,Kemarau,wereng coklat,3,Grade C
1069,panda wangi,6.3,1.2,putih,sangat pulen,Jajar Legowo,Hujan,wereng hijau,4,Grade B
1070,ciheran,7.3,2.3,putih,pulen,Jajar Legowo,Hujan,tikus,4,Grade C
1071,mi kongga,6.2,3.3,putih,sangat pulen,SRI,Hujan,Burung,4,Grade C
1072,IR 64,6.4,4.2,putih,pulen,SRI,Hujan,penggerek batang,4,Grade C
1073,Beras Merah,7.5,5.1,merah,sangat pulen,Jajar Legowo,Hujan,wereng coklat,4,Grade B
1074,Beras Hitam,7.1,6.3,hitam,pulen,Jajar Legowo,Hujan,wereng hijau,4,Grade B
1075,panda wangi,6.5,1.1,coklat,sangat pulen,SRI,Kemarau,tikus,5,Grade B
1076,ciheran,7.5,2.2,putih,pulen,SRI,Kemarau,Burung,5,Grade C
1077,mi kongga,6.2,3.3,putih,sangat pulen,Jajar Legowo,Kemarau,penggerek batang,5,Grade D
1078,IR 64,6.4,4.3,putih,pulen,Jajar Legowo,Kemarau,wereng coklat,5,Grade C
1079,Beras Merah,7.5,5.2,merah,sangat pulen,SRI,Kemarau,wereng hijau,5,Grade B
1080,Beras Hitam,7.8,6.4,hitam,pulen,SRI,Kemarau,tikus,5,Grade C
1081,panda wangi,6.2,1.1,putih,sangat pulen,Jajar Legowo,Hujan,Burung,2,Grade D
1082,ciheran,7.2,2.4,putih,pulen,Jajar Legowo,Hujan,penggerek batang,2,Grade C
1083,mi kongga,6.7,3.2,putih,sangat pulen,SRI,Hujan,wereng coklat,2,Grade D
1084,IR 64,6.7,4.3,putih,pulen,SRI,Hujan,wereng hijau,2,Grade B
1085,Beras Merah,7.5,5.2,merah,sangat pulen,Jajar Legowo,Hujan,tikus,2,Grade C
1086,Beras Hitam,7.2,6.2,hitam,pulen,Jajar Legowo,Hujan,Burung,2,Grade C
1087,panda wangi,6.4,1.4,coklat,sangat pulen,SRI,Kemarau,penggerek batang,3,Grade B
1088,ciheran,7.1,2.2,putih,pulen,SRI,Kemarau,wereng coklat,3,Grade C
1089,mi kongga,6.2,3.2,putih,sangat pulen,Jajar Legowo,Kemarau,wereng hijau,3,Grade B
1090,IR 64,6.3,4.3,putih,pulen,Jajar Legowo,Kemarau,tikus,3,Grade D
1091,Beras Merah,7.2,5.3,merah,sangat pulen,SRI,Kemarau,Burung,3,Grade C
1092,Beras Hitam,7.5,6.2,hitam,pulen,SRI,Kemarau,penggerek batang,3,Grade C
1093,panda wangi,6.2,1.1,putih,sangat pulen,Jajar Legowo,Hujan,wereng coklat,4,Grade C
1094,ciheran,7.2,2.3,putih,pulen,Jajar Legowo,Hujan,wereng hijau,4,Grade B
1095,mi kongga,6.1,3.5,putih,sangat pulen,SRI,Hujan,tikus,4,Grade C
1096,IR 64,6.1,4.5,putih,pulen,SRI,Hujan,Burung,4,Grade C
1097,Beras Merah,7.2,5.5,merah,sangat pulen,Jajar Legowo,Hujan,penggerek batang,4,Grade B
1098,Beras Hitam,7.1,6.2,hitam,pulen,Jajar Legowo,Hujan,wereng coklat,4,Grade B
1099,panda wangi,6.2,1.3,coklat,sangat pulen,SRI,Kemarau,wereng hijau,5,Grade B
1100,ciheran,7.3,2.3,putih,pulen,SRI,Kemarau,tikus,5,Grade C
1101,mi kongga,6.2,3.3,putih,sangat pulen,Jajar Legowo,Kemarau,Burung,5,Grade C
1102,IR 64,6.1,4.2,putih,pulen,Jajar Legowo,Kemarau,penggerek batang,5,Grade D
1103,Beras Merah,7.3,5.2,merah,sangat pulen,SRI,Kemarau,wereng coklat,5,Grade B
1104,Beras Hitam,7.1,6.2,hitam,pulen,SRI,Kemarau,wereng hijau,5,Grade B
1105,panda wangi,6.3,1.4,putih,sangat pulen,Jajar Legowo,Hujan,tikus,2,Grade D
1106,ciheran,7.2,2.2,putih,pulen,Jajar Legowo,Hujan,Burung,2,Grade C
1107,mi kongga,6.3,3.2,putih,sangat pulen,SRI,Hujan,penggerek batang,2,Grade D
1108,IR 64,6.2,4.2,putih,pulen,SRI,Hujan,wereng coklat,2,Grade D
1109,Beras Merah,7.2,5.3,merah,sangat pulen,Jajar Legowo,Hujan,wereng hijau,2,Grade B
1110,Beras Hitam,7.1,6.2,hitam,pulen,Jajar Legowo,Hujan,tikus,2,Grade C
1111,panda wangi,6.2,1.3,coklat,sangat pulen,SRI,Kemarau,Burung,3,Grade C
1112,ciheran,7.3,2.3,putih,pulen,SRI,Kemarau,penggerek batang,3,Grade D
1113,mi kongga,6.4,3.3,putih,sangat pulen,Jajar Legowo,Kemarau,wereng coklat,3,Grade D
1114,IR 64,6.2,4.2,putih,pulen,Jajar Legowo,Kemarau,wereng hijau,3,Grade B
1115,Beras Merah,7.1,1.2,merah,sangat pulen,SRI,Kemarau,tikus,3,Grade C
1116,Beras Hitam,7.3,6.5,hitam,pulen,SRI,Kemarau,Burung,3,Grade C
1117,panda wangi,6.3,1.2,putih,sangat pulen,Jajar Legowo,Hujan,penggerek batang,4,Grade C
1118,ciheran,7.3,2.2,putih,pulen,Jajar Legowo,Hujan,wereng coklat,4,Grade B
1119,mi kongga,6.4,3.2,putih,sangat pulen,SRI,Hujan,wereng hijau,4,Grade B
1120,IR 64,6.2,4.3,putih,pulen,SRI,Hujan,tikus,4,Grade C
1121,Beras Merah,7.1,5.3,merah,sangat pulen,Jajar Legowo,Hujan,Burung,4,Grade C
1122,Beras Hitam,7.3,6.2,hitam,pulen,Jajar Legowo,Hujan,penggerek batang,4,Grade B
1123,panda wangi,6.1,1.4,coklat,sangat pulen,SRI,Kemarau,wereng coklat,5,Grade A
1124,ciheran,7.3,2.2,putih,pulen,SRI,Kemarau,wereng hijau,5,Grade B
1125,mi kongga,6.5,3.2,putih,sangat pulen,Jajar Legowo,Kemarau,tikus,5,Grade C
1126,IR 64,6.2,4.2,putih,pulen,Jajar Legowo,Kemarau,Burung,5,Grade C
1127,Beras Merah,7.2,5.3,merah,sangat pulen,SRI,Kemarau,penggerek batang,5,Grade B
1128,Beras Hitam,7.4,6.2,hitam,pulen,SRI,Kemarau,wereng coklat,5,Grade B
1129,panda wangi,6.2,1.3,putih,sangat pulen,Jajar Legowo,Hujan,wereng hijau,2,Grade B
1130,ciheran,7.2,2.3,putih,pulen,Jajar Legowo,Hujan,tikus,2,Grade C
1131,mi kongga,6.2,3.3,putih,sangat pulen,SRI,Hujan,Burung,2,Grade C
1132,IR 64,6.5,4.2,putih,pulen,SRI,Hujan,penggerek batang,2,Grade D
1133,Beras Merah,7.2,1.2,merah,sangat pulen,Jajar Legowo,Hujan,wereng coklat,2,Grade C
1134,Beras Hitam,7.3,6.5,hitam,pulen,Jajar Legowo,Hujan,wereng hijau,2,Grade B
1135,panda wangi,6.2,1.2,coklat,sangat pulen,SRI,Kemarau,tikus,3,Grade C
1136,ciheran,7.2,2.2,putih,pulen,SRI,Kemarau,Burung,3,Grade D
1137,mi kongga,6.1,3.2,putih,sangat pulen,Jajar Legowo,Kemarau,penggerek batang,3,Grade D
1138,IR 64,6.1,4.3,putih,pulen,Jajar Legowo,Kemarau,wereng coklat,3,Grade D
1139,Beras Merah,7.3,5.3,merah,sangat pulen,SRI,Kemarau,wereng hijau,3,Grade B
1140,Beras Hitam,7.5,6.2,hitam,pulen,SRI,Kemarau,tikus,3,Grade C
1141,panda wangi,6.3,1.4,putih,sangat pulen,Jajar Legowo,Hujan,Burung,4,Grade C
1142,ciheran,7.3,2.2,putih,pulen,Jajar Legowo,Hujan,penggerek batang,4,Grade B
1143,mi kongga,6.2,3.2,putih,sangat pulen,SRI,Hujan,wereng coklat,4,Grade C
1144,IR 64,6.4,4.2,putih,pulen,SRI,Hujan,wereng hijau,4,Grade B
1145,Beras Merah,7.5,5.3,merah,sangat pulen,Jajar Legowo,Hujan,tikus,4,Grade C
1146,Beras Hitam,7.2,6.2,hitam,pulen,Jajar Legowo,Hujan,Burung,4,Grade C
1147,panda wangi,6.4,1.3,coklat,sangat pulen,SRI,Kemarau,penggerek batang,5,Grade A
1148,ciheran,7.2,2.3,putih,pulen,SRI,Kemarau,wereng coklat,5,Grade B
1149,mi kongga,6.4,3.3,putih,sangat pulen,Jajar Legowo,Kemarau,wereng hijau,5,Grade B
1150,IR 64,6.3,4.2,putih,pulen,Jajar Legowo,Kemarau,tikus,5,Grade C
1151,Beras Merah,7.2,1.2,merah,sangat pulen,SRI,Kemarau,Burung,5,Grade C
1152,Beras Hitam,7.4,6.5,hitam,pulen,SRI,Kemarau,penggerek batang,5,Grade B
1153,panda wangi,6.4,1.2,putih,sangat pulen,Jajar Legowo,Hujan,wereng coklat,2,Grade D
1154,ciheran,7.3,2.2,putih,pulen,Jajar Legowo,Hujan,wereng hijau,2,Grade B
1155,mi kongga,6.5,3.2,putih,sangat pulen,SRI,Hujan,tikus,2,Grade C
1156,IR 64,6.6,4.3,putih,pulen,SRI,Hujan,Burung,2,Grade C
1157,Beras Merah,7.2,5.3,merah,sangat pulen,Jajar Legowo,Hujan,penggerek batang,2,Grade C
1158,Beras Hitam,7.3,6.2,hitam,pulen,Jajar Legowo,Hujan,wereng coklat,2,Grade C
1159,panda wangi,6.6,1.2,coklat,sangat pulen,SRI,Kemarau,wereng hijau,3,Grade B
1160,ciheran,7.2,2.3,putih,pulen,SRI,Kemarau,tikus,3,Grade D
1161,mi kongga,6.1,3.3,putih,sangat pulen,Jajar Legowo,Kemarau,Burung,3,Grade D
1162,IR 64,6.4,4.2,putih,pulen,Jajar Legowo,Kemarau,penggerek batang,3,Grade D
1163,Beras Merah,7.5,5.1,merah,sangat pulen,SRI,Kemarau,wereng coklat,3,Grade C
1164,Beras Hitam,7.3,6.3,hitam,pulen,SRI,Kemarau,wereng hijau,3,Grade B
1165,panda wangi,6.3,1.2,putih,sangat pulen,Jajar Legowo,Hujan,tikus,4,Grade C
1166,ciheran,7.2,2.3,putih,pulen,Jajar Legowo,Hujan,Burung,4,Grade C
1167,mi kongga,6.5,3.3,putih,sangat pulen,SRI,Hujan,penggerek batang,4,Grade C
1168,IR 64,6.4,4.2,putih,pulen,SRI,Hujan,wereng coklat,4,Grade C
1169,Beras Merah,7.4,5.1,merah,sangat pulen,Jajar Legowo,Hujan,wereng hijau,4,Grade B
1170,Beras Hitam,7.4,6.3,hitam,pulen,Jajar Legowo,Hujan,tikus,4,Grade C
1171,panda wangi,6.2,1.1,coklat,sangat pulen,SRI,Kemarau,Burung,5,Grade B
1172,ciheran,7.2,2.2,putih,pulen,SRI,Kemarau,penggerek batang,5,Grade C
1173,mi kongga,6.1,3.3,putih,sangat pulen,Jajar Legowo,Kemarau,wereng coklat,5,Grade C
1174,IR 64,6.1,4.3,putih,pulen,Jajar Legowo,Kemarau,wereng hijau,5,Grade B
1175,Beras Merah,7.3,5.2,merah,sangat pulen,SRI,Kemarau,tikus,5,Grade C
1176,Beras Hitam,7.5,6.4,hitam,pulen,SRI,Kemarau,Burung,5,Grade C
1177,panda wangi,6.5,1.1,putih,sangat pulen,Jajar Legowo,Hujan,penggerek batang,2,Grade D
1178,ciheran,7.5,2.4,putih,pulen,Jajar Legowo,Hujan,wereng coklat,2,Grade C
1179,mi kongga,6.2,3.2,putih,sangat pulen,SRI,Hujan,wereng hijau,2,Grade B
1180,IR 64,6.5,4.3,putih,pulen,SRI,Hujan,tikus,2,Grade C
1181,Beras Merah,7.2,5.2,merah,sangat pulen,Jajar Legowo,Hujan,Burung,2,Grade C
1182,Beras Hitam,7.1,6.2,hitam,pulen,Jajar Legowo,Hujan,penggerek batang,2,Grade C
1183,panda wangi,6.3,1.4,coklat,sangat pulen,SRI,Kemarau,wereng coklat,3,Grade B
1184,ciheran,7.3,2.2,putih,pulen,SRI,Kemarau,wereng hijau,3,Grade B
1185,mi kongga,6.2,3.2,putih,sangat pulen,Jajar Legowo,Kemarau,tikus,3,Grade D
1186,IR 64,6.4,4.3,putih,pulen,Jajar Legowo,Kemarau,Burung,3,Grade D
1187,Beras Merah,7.5,5.3,merah,sangat pulen,SRI,Kemarau,penggerek batang,3,Grade C
1188,Beras Hitam,7.2,6.2,hitam,pulen,SRI,Kemarau,wereng coklat,3,Grade C
1189,panda wangi,6.4,1.2,putih,sangat pulen,Jajar Legowo,Hujan,wereng hijau,4,Grade B
1190,ciheran,7.2,2.3,putih,pulen,Jajar Legowo,Hujan,tikus,4,Grade C
1191,mi kongga,6.4,3.3,putih,sangat pulen,SRI,Hujan,Burung,4,Grade C
1192,IR 64,6.3,4.2,putih,pulen,SRI,Hujan,penggerek batang,4,Grade C
1193,Beras Merah,7.2,5.1,merah,sangat pulen,Jajar Legowo,Hujan,wereng coklat,4,Grade B
1194,Beras Hitam,7.4,6.3,hitam,pulen,Jajar Legowo,Hujan,wereng hijau,4,Grade B
1195,panda wangi,6.4,1.2,coklat,sangat pulen,SRI,Kemarau,tikus,5,Grade B
1196,ciheran,7.3,2.3,putih,pulen,SRI,Kemarau,Burung,5,Grade C
1197,mi kongga,6.5,3.3,putih,sangat pulen,Jajar Legowo,Kemarau,penggerek batang,5,Grade D
1198,IR 64,6.6,4.2,putih,pulen,Jajar Legowo,Kemarau,wereng coklat,5,Grade C
1199,Beras Merah,7.2,5.1,merah,sangat pulen,SRI,Kemarau,wereng hijau,5,Grade B
1200,Beras Hitam,7.3,6.3,hitam,pulen,SRI,Kemarau,tikus,5,Grade C
1201,panda wangi,6.6,1.1,putih,sangat pulen,Jajar Legowo,Hujan,Burung,2,Grade D
1202,ciheran,7.2,2.2,putih,pulen,Jajar Legowo,Hujan,penggerek batang,2,Grade C
1203,mi kongga,6.1,3.3,putih,sangat pulen,SRI,Hujan,wereng coklat,2,Grade D
1204,IR 64,6.4,4.3,putih,pulen,SRI,Hujan,wereng hijau,2,Grade B
1205,Beras Merah,7.5,5.2,merah,sangat pulen,Jajar Legowo,Hujan,tikus,2,Grade C
1206,Beras Hitam,7.3,6.4,hitam,pulen,Jajar Legowo,Hujan,Burung,2,Grade C
1207,panda wangi,6.1,1.1,coklat,sangat pulen,SRI,Kemarau,penggerek batang,3,Grade B
1208,ciheran,7.4,2.4,putih,pulen,SRI,Kemarau,wereng coklat,3,Grade C
1209,mi kongga,6.2,3.2,putih,sangat pulen,Jajar Legowo,Kemarau,wereng hijau,3,Grade B
1210,IR 64,6.4,4.3,putih,pulen,Jajar Legowo,Kemarau,tikus,3,Grade D
1211,Beras Merah,7.2,5.2,merah,sangat pulen,SRI,Kemarau,Burung,3,Grade C
1212,Beras Hitam,7.5,6.2,hitam,pulen,SRI,Kemarau,penggerek batang,3,Grade C
1213,panda wangi,6.3,1.4,putih,sangat pulen,Jajar Legowo,Hujan,wereng coklat,4,Grade C
1214,ciheran,7.5,2.2,putih,pulen,Jajar Legowo,Hujan,wereng hijau,4,Grade B
1215,mi kongga,6.3,3.2,putih,sangat pulen,SRI,Hujan,tikus,4,Grade C
1216,IR 64,6.2,4.3,putih,pulen,SRI,Hujan,Burung,4,Grade C
1217,Beras Merah,7.1,5.3,merah,sangat pulen,Jajar Legowo,Hujan,penggerek batang,4,Grade B
1218,Beras Hitam,7.5,6.2,hitam,pulen,Jajar Legowo,Hujan,wereng coklat,4,Grade B
1219,panda wangi,6.2,1.1,coklat,sangat pulen,SRI,Kemarau,wereng hijau,5,Grade B
1220,ciheran,7.4,2.3,putih,pulen,SRI,Kemarau,tikus,5,Grade C
1221,mi kongga,6.1,3.5,putih,sangat pulen,Jajar Legowo,Kemarau,Burung,5,Grade C
1222,IR 64,6.4,4.5,putih,pulen,Jajar Legowo,Kemarau,penggerek batang,5,Grade D
1223,Beras Merah,7.3,5.5,merah,sangat pulen,SRI,Kemarau,wereng coklat,5,Grade B
1224,Beras Hitam,7.2,6.2,hitam,pulen,SRI,Kemarau,wereng hijau,5,Grade B
1225,panda wangi,6.1,1.3,putih,sangat pulen,Jajar Legowo,Hujan,tikus,2,Grade D
1226,ciheran,7.1,2.3,putih,pulen,Jajar Legowo,Hujan,Burung,2,Grade C
1227,mi kongga,6.5,3.3,putih,sangat pulen,SRI,Hujan,penggerek batang,2,Grade D
1228,IR 64,6.3,4.2,putih,pulen,SRI,Hujan,wereng coklat,2,Grade D
1229,Beras Merah,7.4,5.2,merah,sangat pulen,Jajar Legowo,Hujan,wereng hijau,2,Grade B
1230,Beras Hitam,7.2,6.2,hitam,pulen,Jajar Legowo,Hujan,tikus,2,Grade C
1231,panda wangi,6.1,1.4,coklat,sangat pulen,SRI,Kemarau,Burung,3,Grade C
1232,ciheran,7.3,2.2,putih,pulen,SRI,Kemarau,penggerek batang,3,Grade D
1233,mi kongga,6.5,3.2,putih,sangat pulen,Jajar Legowo,Kemarau,wereng coklat,3,Grade D
1234,IR 64,6.2,4.2,putih,pulen,Jajar Legowo,Kemarau,wereng hijau,3,Grade B
